modelUsed,numEpochs,testLoss,testMae
small,10,0.009043310768902302,0.06044070050120354
medium,10,0.008985985070466995,0.06203744560480118
large,10,0.009597115218639374,0.059764157980680466
deep,10,0.009238881058990955,0.0612306147813797
small,20,0.009022625163197517,0.06135893985629082
medium,20,0.008928751572966576,0.06040351092815399
large,20,0.008677580393850803,0.06031617894768715
deep,20,0.009176434017717838,0.0640573799610138
small,30,0.008870544843375683,0.06035810336470604
medium,30,0.008799280039966106,0.05970889702439308
large,30,0.009010938927531242,0.062271375209093094
deep,30,0.009092701599001884,0.062399737536907196
small,40,0.009195960126817226,0.06514415889978409
medium,40,0.009127764031291008,0.06069914251565933
large,40,0.008946394547820091,0.05912044271826744
deep,40,0.009114650078117847,0.058948177844285965
small,50,0.009103406220674515,0.06034335866570473
medium,50,0.008970445021986961,0.05945318564772606
large,50,0.009067848324775696,0.059247639030218124
deep,50,0.009085709229111671,0.06334342807531357
small,60,0.008765025995671749,0.0595410019159317
medium,60,0.00888437032699585,0.06120128557085991
large,60,0.009145530872046947,0.06049131602048874
deep,60,0.009358239360153675,0.06328610330820084
small,70,0.009373237378895283,0.06109054759144783
medium,70,0.009396791458129883,0.05950537696480751
large,70,0.009261354804039001,0.0619259737432003
deep,70,0.008952233009040356,0.06274101883172989
small,80,0.009193694218993187,0.059789545834064484
medium,80,0.009165690280497074,0.06647983193397522
large,80,0.009261305443942547,0.06366902589797974
deep,80,0.009252398274838924,0.062350429594516754
small,90,0.009456095285713673,0.0661378726363182
medium,90,0.009096265770494938,0.06408809125423431
large,90,0.009334681555628777,0.061077769845724106
deep,90,0.009765371680259705,0.060863930732011795
small,100,0.009137229062616825,0.06477964669466019
medium,100,0.009661720134317875,0.05916387587785721
large,100,0.009688918478786945,0.0612628310918808
deep,100,0.009080542251467705,0.06275898963212967
