modelUsed,numEpochs,testLoss,testMae
small,1,0.011604554951190948,0.0762745663523674
medium,1,0.010989556089043617,0.07215836644172668
large,1,0.010332069359719753,0.06470513343811035
deep,1,0.009763327427208424,0.060675300657749176
small,2,0.0099885743111372,0.06623192876577377
medium,2,0.009871132671833038,0.06282554566860199
large,2,0.01031191274523735,0.06240464374423027
deep,2,0.00893230177462101,0.06222257763147354
small,3,0.00968687329441309,0.0675179734826088
medium,3,0.010882481932640076,0.0656820684671402
large,3,0.009675364010035992,0.0648658350110054
deep,3,0.009047103114426136,0.06072189286351204
small,4,0.009632134810090065,0.062465328723192215
medium,4,0.009278666228055954,0.0607374869287014
large,4,0.00906903762370348,0.06131404638290405
deep,4,0.008810720406472683,0.059744879603385925
small,5,0.009079848416149616,0.06279484927654266
medium,5,0.009191480465233326,0.06147482618689537
large,5,0.009050450287759304,0.06309588253498077
deep,5,0.009003394283354282,0.06183928996324539
small,6,0.009433969855308533,0.06556200236082077
medium,6,0.009354963898658752,0.05988975986838341
large,6,0.010101375170052052,0.06151228025555611
deep,6,0.009222804568707943,0.06003197655081749
small,7,0.008951136842370033,0.06074199452996254
medium,7,0.009928516112267971,0.061319202184677124
large,7,0.009138384833931923,0.06415310502052307
deep,7,0.009433318860828876,0.06094945967197418
small,8,0.00954145286232233,0.06223824620246887
medium,8,0.009385409764945507,0.0653611496090889
large,8,0.009115283377468586,0.060496579855680466
deep,8,0.009184746071696281,0.06306316703557968
small,9,0.009555108845233917,0.06612678617238998
medium,9,0.009029505774378777,0.060284413397312164
large,9,0.008955445140600204,0.059732142835855484
deep,9,0.008926686830818653,0.059667814522981644
small,10,0.009177204221487045,0.06349039077758789
medium,10,0.009170874021947384,0.059914592653512955
large,10,0.009251055307686329,0.06122269108891487
deep,10,0.0095022302120924,0.06683800369501114
small,11,0.008953794836997986,0.06137042120099068
medium,11,0.00949113443493843,0.062035102397203445
large,11,0.009236017242074013,0.06608812510967255
deep,11,0.009369544684886932,0.06466986238956451
small,12,0.009317498654127121,0.06191414222121239
medium,12,0.008926508016884327,0.06026260182261467
large,12,0.008870139718055725,0.05992008000612259
deep,12,0.009127633646130562,0.0577169694006443
small,13,0.009192166849970818,0.06357971578836441
medium,13,0.009488843381404877,0.05897202342748642
large,13,0.009084799326956272,0.06329744309186935
deep,13,0.009390244260430336,0.06328295171260834
small,14,0.009190798737108707,0.059319205582141876
medium,14,0.008955481462180614,0.06042948365211487
large,14,0.00919311959296465,0.06192971393465996
deep,14,0.008753225207328796,0.05930393934249878
small,15,0.00907596293836832,0.06011788547039032
medium,15,0.009080658666789532,0.05978531017899513
large,15,0.009046455845236778,0.0638638362288475
deep,15,0.009054203517735004,0.0605868436396122
small,16,0.009048819541931152,0.06234684959053993
medium,16,0.009160169400274754,0.06384173035621643
large,16,0.008853429928421974,0.05886615067720413
deep,16,0.008869069628417492,0.05988427251577377
small,17,0.009099842980504036,0.06353040039539337
medium,17,0.008996417745947838,0.06148827075958252
large,17,0.009032399393618107,0.05846782773733139
deep,17,0.009408975951373577,0.06501580029726028
small,18,0.009665105491876602,0.06147163361310959
medium,18,0.009053023532032967,0.06135553494095802
large,18,0.009974286891520023,0.061058253049850464
deep,18,0.00937279500067234,0.06212252750992775
small,19,0.010182579047977924,0.06636582314968109
medium,19,0.009223229251801968,0.05993098393082619
large,19,0.009026200510561466,0.05976428464055061
deep,19,0.008866546675562859,0.0589083693921566
small,20,0.009101597592234612,0.06347435712814331
medium,20,0.008987151086330414,0.06067977100610733
large,20,0.008850695565342903,0.05790744349360466
deep,20,0.008912614546716213,0.05992458760738373
small,21,0.00897570326924324,0.06331969052553177
medium,21,0.009328657761216164,0.05955978110432625
large,21,0.009182845242321491,0.05898509547114372
deep,21,0.008830808103084564,0.06257300823926926
small,22,0.009282504208385944,0.06574730575084686
medium,22,0.00926020834594965,0.05867159739136696
large,22,0.009146287105977535,0.0637969970703125
deep,22,0.008855271153151989,0.06011688709259033
small,23,0.009159930981695652,0.06290742754936218
medium,23,0.008943923749029636,0.0621972419321537
large,23,0.009341600351035595,0.05986902490258217
deep,23,0.009047463536262512,0.06162264570593834
small,24,0.009043769910931587,0.059163328260183334
medium,24,0.009074447676539421,0.0626540258526802
large,24,0.009006740525364876,0.05971750244498253
deep,24,0.00991299282759428,0.0638224333524704
small,25,0.009241092018783092,0.0625021904706955
medium,25,0.009386594407260418,0.06721647083759308
large,25,0.009014208801090717,0.06228097900748253
deep,25,0.009214474819600582,0.060950350016355515
small,26,0.009266281500458717,0.06089160218834877
medium,26,0.009300815872848034,0.06166735291481018
large,26,0.009044498205184937,0.059324637055397034
deep,26,0.009226669557392597,0.06394689530134201
small,27,0.008996940217912197,0.06353580206632614
medium,27,0.008900303393602371,0.05940333008766174
large,27,0.009025581181049347,0.059658296406269073
deep,27,0.009563243016600609,0.06003519147634506
small,28,0.009278624318540096,0.05869051441550255
medium,28,0.009036260657012463,0.05919409915804863
large,28,0.009052873589098454,0.06438355147838593
deep,28,0.009020759724080563,0.061111003160476685
small,29,0.009085467085242271,0.06231001392006874
medium,29,0.009128919802606106,0.061300840228796005
large,29,0.008888395503163338,0.058105602860450745
deep,29,0.009436353109776974,0.06101030483841896
small,30,0.009350229986011982,0.06404080986976624
medium,30,0.009196465834975243,0.06278267502784729
large,30,0.009045719169080257,0.060499098151922226
deep,30,0.009138655848801136,0.06200028210878372
small,31,0.008972258307039738,0.05950651690363884
medium,31,0.008896656334400177,0.06327386945486069
large,31,0.00949972216039896,0.06007092073559761
deep,31,0.008985348045825958,0.06053436920046806
