modelType,numEpochs,testLoss,testMae
DNN,1,0.010597163811326,0.0695005506277084
DNN,2,0.009712902829051,0.0643880814313888
DNN,3,0.0095198452472686,0.066250242292881
DNN,4,0.0091278394684195,0.0642996504902839
DNN,5,0.0093508530408144,0.0624200813472271
DNN,6,0.009748512879014,0.0651520118117332
DNN,7,0.0096907336264848,0.0607607141137123
DNN,8,0.00922910310328,0.0612053163349628
DNN,9,0.0094006564468145,0.0613852143287658
DNN,10,0.0094384914264082,0.0608567968010902
DNN,11,0.0090613840147852,0.0613011792302131
DNN,12,0.0089073106646537,0.0605663396418094
DNN,13,0.0090368213132023,0.0595454238355159
DNN,14,0.0094945114105939,0.0629632994532585
DNN,15,0.0091457134112715,0.0654954314231872
DNN,16,0.009203728288412,0.062440987676382
DNN,17,0.0090747466310858,0.0638082846999168
DNN,18,0.0090562188997864,0.0622077770531177
DNN,19,0.0092685036361217,0.0644271001219749
DNN,20,0.0102388877421617,0.0619606003165245
DNN,21,0.0095879230648279,0.0596865080296993
DNN,22,0.0091253155842423,0.0606601685285568
DNN,23,0.0090093640610575,0.0623113997280597
DNN,24,0.0093941111117601,0.0654754042625427
DNN + Dropout,1,0.0093552209436893,0.0647417157888412
DNN + Dropout,2,0.0092939408496022,0.0639220178127288
DNN + Dropout,3,0.00938615296036,0.0643361881375312
DNN + Dropout,4,0.0094197681173682,0.0623809657990932
DNN + Dropout,5,0.0094394972547888,0.061588816344738
DNN + Dropout,6,0.0092581966891884,0.061439398676157
DNN + Dropout,7,0.0093739535659551,0.063991330564022
DNN + Dropout,8,0.0095256390050053,0.066005527973175
DNN + Dropout,9,0.0093566896393895,0.0610409937798976
DNN + Dropout,10,0.0093665737658739,0.0623756796121597
DNN + Dropout,11,0.0093190046027302,0.061240691691637
DNN + Dropout,12,0.0093310261145234,0.062727577984333
DNN + Dropout,13,0.0093941492959856,0.0610171556472778
DNN + Dropout,14,0.0091935787349939,0.0618055164813995
DNN + Dropout,15,0.0092953657731413,0.0620767287909984
DNN + Dropout,16,0.0092137185856699,0.0610087737441062
DNN + Dropout,17,0.0094171427190303,0.0628523230552673
DNN + Dropout,18,0.0091011561453342,0.0596058964729309
DNN + Dropout,19,0.0094881644472479,0.0603203251957893
DNN + Dropout,20,0.0092462245374917,0.0595466569066047
DNN + Dropout,21,0.0091548254713416,0.061695922166109
DNN + Dropout,22,0.0093367043882608,0.0604295283555984
DNN + Dropout,23,0.0092631420120596,0.0594588108360767
DNN + Dropout,24,0.0091802375391125,0.0602171719074249
DNN + Dropout,25,0.0091784186661243,0.0598530434072017
DNN + Dropout,26,0.0094328634440898,0.0614567473530769
DNN + Dropout,27,0.0091913873329758,0.0612037144601345
DNN + Dropout,28,0.0091970954090356,0.0617391839623451
DNN + Dropout,29,0.0090639861300587,0.0610699616372585
DNN + Dropout,30,0.0092798396944999,0.0631430968642234
DNN + Dropout,31,0.0092215221375226,0.0595615431666374
DNN + Dropout,32,0.0092478645965456,0.0639017969369888
DNN + Dropout,33,0.0092472452670335,0.0629899054765701
DNN + Dropout,34,0.0092321243137121,0.0632534846663475
DNN + Dropout,35,0.0092697162181139,0.0598976053297519
DNN + Dropout,36,0.0092887496575713,0.0616368353366851
DNN + Dropout,37,0.009242252446711,0.0604383572936058
DNN + Dropout,38,0.0092789409682154,0.0594141446053981
DNN + Dropout,39,0.0092912642285227,0.0625898092985153
DNN + Dropout,40,0.0093615995720028,0.0597584024071693
DNN + Dropout,41,0.0092317732051014,0.0612163618206977
DNN + Dropout,42,0.0091053117066621,0.0615190155804157
DNN + Dropout,43,0.0091894539073109,0.0598202124238014
DNN + Dropout,44,0.0091590378433465,0.0606197975575923
DNN + Dropout,45,0.009318908676505,0.0628576427698135
DNN + Dropout,46,0.009254234842956,0.0613767690956592
DNN + Dropout,47,0.0092112263664603,0.060159008949995
DNN + Dropout,48,0.009069787338376,0.0605178922414779
DNN + Dropout,49,0.0091289952397346,0.0621727332472801
Linear,1,0.1629679650068283,0.3115014135837555
Linear,2,0.049893382936716,0.173928216099739
Linear,3,0.0461105592548847,0.1383803933858871
Linear,4,0.0152694219723343,0.082779511809349
Linear,5,0.0129919331520795,0.0733261182904243
Linear,6,0.0094928070902824,0.0645194128155708
Linear,7,0.009493320249021,0.0642967596650123
Linear,8,0.0098818773403763,0.0666872337460517
Linear,9,0.0088105946779251,0.0607241727411747
Linear,10,0.009312791749835,0.0603256523609161
Linear,11,0.0088908979669213,0.0595392845571041
Linear,12,0.0088778845965862,0.0591991282999515
Linear,13,0.0090853665024042,0.0601445287466049
Linear,14,0.0088176289573311,0.0598308704793453
Linear,15,0.0087908720597624,0.0599647276103496
Linear,16,0.0090674292296171,0.058034349232912
Linear,17,0.0092015247792005,0.0588174387812614
Linear,18,0.0088194133713841,0.0590531080961227
Linear,19,0.0090342191979289,0.0608448646962642
Linear,20,0.0089687556028366,0.0587981976568698
Linear,21,0.0088141337037086,0.0589960478246212
Linear,22,0.0088642463088035,0.0620344467461109
Linear,23,0.0090998038649559,0.0602556876838207
Linear,24,0.0088395737111568,0.0601030811667442
