numEpochs,learningRate,testLoss,testMae
10,0.001,0.009926637634634972,0.06650804728269577
10,0.01,0.009106691926717758,0.06271201372146606
10,0.1,0.010342083871364594,0.06693293899297714
10,0.2,0.01082519069314003,0.07150749117136002
10,0.5,0.010449111461639404,0.06415532529354095
20,0.001,0.00922075379639864,0.062378283590078354
20,0.01,0.009191646240651608,0.05990422144532204
20,0.1,0.010340549983084202,0.07041626423597336
20,0.2,0.010542631149291992,0.06378544121980667
20,0.5,0.010618829168379307,0.06415136903524399
30,0.001,0.009081183932721615,0.061267171055078506
30,0.01,0.009045655839145184,0.060593266040086746
30,0.1,0.01085866428911686,0.0758422464132309
30,0.2,0.010257762856781483,0.06894233822822571
30,0.5,0.01045281533151865,0.06737986952066422
40,0.001,0.00930857378989458,0.06395619362592697
40,0.01,0.009079276584088802,0.06304438412189484
40,0.1,0.010264208540320396,0.06932489573955536
40,0.2,0.010228816419839859,0.06725461781024933
40,0.5,0.01026873104274273,0.06497412919998169
50,0.001,0.008738660253584385,0.06132102385163307
50,0.01,0.008967194706201553,0.06037120148539543
50,0.1,0.010627774521708488,0.07425393164157867
50,0.2,0.010415105149149895,0.06475581228733063
50,0.5,0.010316351428627968,0.06712512671947479
60,0.001,0.009696019813418388,0.0608610063791275
60,0.01,0.009380954317748547,0.06188541650772095
60,0.1,0.010750182904303074,0.07609150558710098
60,0.2,0.010343063622713089,0.06618627160787582
60,0.5,0.010400471277534962,0.0674188882112503
70,0.001,0.008966725319623947,0.06173047423362732
70,0.01,0.0090469466522336,0.060909781605005264
70,0.1,0.010276745073497295,0.06452342122793198
70,0.2,0.010502778925001621,0.07162299007177353
70,0.5,0.010322286747395992,0.07051920890808105
80,0.001,0.00887722335755825,0.06193701922893524
80,0.01,0.009431002661585808,0.058945681899785995
80,0.1,0.01046360470354557,0.0678381621837616
80,0.2,0.01088610477745533,0.07330575585365295
80,0.5,0.010580235160887241,0.06759096682071686
90,0.001,0.009251718409359455,0.06139537692070007
90,0.01,0.009055739268660545,0.05914289504289627
90,0.1,0.012602487578988075,0.08833033591508865
90,0.2,0.010488673113286495,0.0719093382358551
90,0.5,0.010293823666870594,0.06990645825862885
100,0.001,0.009095300920307636,0.061257753521203995
100,0.01,0.009128267876803875,0.05896264687180519
100,0.1,0.010298076085746288,0.06427324563264847
100,0.2,0.01033473014831543,0.06743597239255905
100,0.5,0.010288191959261894,0.06866931915283203
